Time,Time Code,Country Name,Country Code,GDP per capita growth (annual %),"GDP per capita, PPP (current international $)",CO2 emissions (metric tons per capita),CO2 emissions (kg per PPP $ of GDP),"Life expectancy at birth, total (years)","Life expectancy at birth, male (years)","Life expectancy at birth, female (years)",CO2 intensity (kg per kg of oil equivalent energy use),Coverage of social protection and labor programs (% of population),Adequacy of social protection and labor programs (% of total welfare of beneficiary households),CPIA social protection rating (1=low to 6=high),Adjusted savings: carbon dioxide damage (% of GNI),"Intentional homicides (per 100,000 people)","Internally displaced persons, total displaced by conflict and violence (number of people)",CPIA quality of public administration rating (1=low to 6=high),Proportion of people living below 50 percent of median income (%),Multidimensional poverty headcount ratio (% of total population),CO2 emissions from gaseous fuel consumption (kt),CO2 emissions from liquid fuel consumption (kt),CO2 emissions from solid fuel consumption (kt),"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),Total greenhouse gas emissions (kt of CO2 equivalent)
2015,YR2015,"Macao SAR, China",MAC,-22.92685231,113813.739,..,..,83.984,81.144,86.784,..,..,..,..,0.225960004,0.162538461,..,..,..,..,3.667,1785.829,0,..,..,..
2015,YR2015,North Macedonia,MKD,3.717656603,13888.30114,3.577338899,0.257579301,75.40243902,73.5,77.4,..,..,..,..,2.643431674,1.185979633,200,..,17.1,41.6,231.021,2783.253,3751.341,..,..,10416.57
2015,YR2015,Madagascar,MDG,0.497287784,1508.442706,0.132173016,0.087622165,64.339,62.416,66.346,..,..,..,2.5,1.046876208,..,..,2.5,..,..,0,2471.558,1052.429,2.5,3,28342.31
2015,YR2015,Malawi,MWI,0.002403031,1429.208235,0.054607897,0.038208496,61.378,58.187,64.659,..,..,..,3.5,0.525539113,..,..,2.5,..,..,0,784.738,227.354,2.5,3.5,8118.829
2015,YR2015,Malaysia,MYS,3.527534436,24164.95584,7.613330697,0.315056677,75.094,72.75,77.728,..,..,..,..,2.805953043,1.602892545,..,..,16.4,..,77274.691,77054.671,66372.7,..,..,293607.7
2015,YR2015,Maldives,MDV,-1.566407737,17512.96413,3.153941164,0.180091796,79.695,78.941,80.675,..,..,..,3.5,1.261298885,0.918311592,..,3,..,..,0,1301.785,0,3,3.5,1662.404
2015,YR2015,Mali,MLI,2.882860607,1957.003495,0.201635221,0.103032632,58.363,57.288,59.468,..,..,..,3,0.990872341,..,50000,2.5,..,..,0,2852.926,0,3,4,35546.16
2015,YR2015,Malta,MLT,7.023411341,37455.12315,3.723376766,0.099409011,81.89756098,79.8,84.1,..,..,..,..,0.550874222,0.87608155,..,..,8.9,23,0,1620.814,0,..,..,2180.451
2015,YR2015,Mauritania,MRT,2.62469076,4306.676799,0.901672993,0.209366302,64.485,62.761,66.276,..,..,..,3,2.067748997,..,..,3,..,..,0,2464.224,0,3,3,13130.89
2015,YR2015,Mauritius,MUS,3.553327192,19747.9099,3.137085629,0.15885659,74.35317073,71.08,77.79,..,..,..,..,1.139263237,1.623937771,..,..,..,..,0,2526.563,1686.82,..,..,6375.658
2015,YR2015,Mexico,MEX,2.094717824,18561.72076,3.925370822,0.211476666,74.682,71.723,77.692,2.522794418,..,..,..,1.436568533,17.2800814,287000,..,..,..,148099.129,259088.218,44150.68,..,..,667048.8
2015,YR2015,Moldova,MDA,0.429158952,9250.123271,2.828160162,0.30574297,69.24,64.827,73.838,..,..,..,3.5,3.403165578,5.766787454,..,3.5,5.2,..,1683.153,2291.875,370.367,2.5,4,12547.46
2015,YR2015,Monaco,MCO,3.009249664,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
2015,YR2015,Mongolia,MNG,0.241383711,10769.25436,5.835434973,0.541860632,69.498,65.534,73.684,..,..,..,3.5,5.647240156,7.218150207,..,3.5,..,..,0,3366.306,19710.125,3.5,3.5,45445.76
2015,YR2015,Montenegro,MNE,3.332384578,16332.84202,3.791795988,0.232157758,76.44878049,74.4,78.6,..,..,..,..,1.980532351,2.681529702,..,..,20.5,35.9,0,744.401,1496.136,..,..,3613.134
2015,YR2015,Morocco,MAR,3.022429876,7669.945313,1.74194643,0.22393749,72.92,71.166,74.777,..,..,..,..,1.932435631,1.242774821,..,..,..,..,2324.878,34106.767,16857.199,..,..,81462.89
2015,YR2015,Mozambique,MOZ,3.524583654,1300.828948,0.205511658,0.157985151,58.151,55.748,60.44,..,..,..,3,1.226426251,..,..,3,..,..,1741.825,3520.32,429.039,2.5,3.5,31312.62
2015,YR2015,Myanmar,MMR,2.451780521,4200.876849,0.369769615,0.088022008,65.561,62.535,68.744,..,..,..,2.5,1.093491036,2.528943535,644000,2.5,9,..,10857.987,10043.913,927.751,3,2.5,105680.6
